Date,Price,Open,High,Low,Vol.
Jul 04 2022,20215.80,19310.60,20303.80,19052.50,92.79K
Jul 03 2022,19309.90,19243.40,19626.40,18794.40,65.27K
Jul 02 2022,19243.20,19275.40,19425.40,19006.40,58.57K
Jul 01 2022,19262.90,19926.60,20785.60,18980.10,150.18K
Jun 30 2022,19926.60,20111.30,20155.10,18682.70,127.73K
Jun 29 2022,20111.30,20278.00,20415.80,19880.70,98.97K
Jun 28 2022,20278.00,20727.90,21200.20,20210.50,83.83K
Jun 27 2022,20730.20,21037.70,21497.50,20568.00,84.69K
Jun 26 2022,21043.50,21489.90,21837.40,20989.70,67.21K
Jun 25 2022,21489.90,21226.90,21553.40,20917.50,66.63K
Jun 24 2022,21226.90,21100.90,21488.70,20743.90,104.56K
Jun 23 2022,21100.70,19967.30,21189.80,19907.50,110.70K
Jun 22 2022,19965.80,20720.20,20864.30,19780.20,125.94K
Jun 21 2022,20720.40,20571.60,21689.30,20371.70,136.32K
Jun 20 2022,20572.30,20576.90,20996.80,19658.80,140.60K
Jun 19 2022,20577.20,18983.40,20763.50,17983.70,169.39K
Jun 18 2022,18986.50,20446.40,20744.70,17630.50,267.25K
Jun 17 2022,20444.60,20391.30,21315.40,20244.10,136.27K
Jun 16 2022,20386.60,22577.90,22942.10,20231.10,144.00K
Jun 15 2022,22577.90,22137.50,22754.40,20125.80,280.41K
Jun 14 2022,22157.30,22449.10,23200.30,20860.90,251.01K
Jun 13 2022,22448.00,26606.30,26857.60,22006.30,379.26K
Jun 12 2022,26606.30,28404.00,28534.80,26606.30,120.02K
Jun 11 2022,28403.40,29083.30,29426.60,28161.80,82.92K
Jun 10 2022,29083.30,30097.40,30325.60,28884.90,104.26K
Jun 09 2022,30097.80,30202.10,30691.40,29953.80,61.72K
Jun 08 2022,30201.60,31127.20,31312.10,29874.80,87.96K
Jun 07 2022,31128.80,31370.30,31556.60,29235.00,140.32K
Jun 06 2022,31367.60,29911.20,31753.40,29888.60,94.01K
Jun 05 2022,29913.00,29865.10,30166.90,29539.00,30.33K
Jun 04 2022,29864.30,29700.90,29963.80,29489.50,33.51K
Jun 03 2022,29700.90,30455.70,30674.80,29330.80,72.13K
Jun 02 2022,30455.50,29798.60,30638.50,29604.40,81.40K
Jun 01 2022,29798.50,31793.10,31969.90,29396.60,135.09K
May 31 2022,31793.40,31730.20,32377.50,31221.20,86.60K
May 30 2022,31723.30,29465.20,32185.60,29307.20,129.56K
May 29 2022,29465.20,29027.10,29556.50,28838.70,36.87K
May 28 2022,29027.10,28620.10,29194.40,28537.20,43.87K
May 27 2022,28601.20,29194.00,29377.10,28282.20,116.41K
